events,time,date,date-time,reset,rtc_reset,device_id,stream,
272,4:48 PM,04-21-2026,04-21-2026 16:48:32,0,0,eGFP3,WHEEL,
273,4:48 PM,04-21-2026,04-21-2026 16:48:33,0,0,eGFP3,WHEEL,
274,4:48 PM,04-21-2026,04-21-2026 16:48:34,0,0,eGFP3,WHEEL,
275,4:48 PM,04-21-2026,04-21-2026 16:48:35,0,0,eGFP3,WHEEL,
276,4:48 PM,04-21-2026,04-21-2026 16:48:36,0,0,eGFP3,WHEEL,
277,4:48 PM,04-21-2026,04-21-2026 16:48:37,0,0,eGFP3,WHEEL,
278,4:48 PM,04-21-2026,04-21-2026 16:48:38,0,0,eGFP3,WHEEL,
279,4:48 PM,04-21-2026,04-21-2026 16:48:38,0,0,eGFP3,WHEEL,
280,4:48 PM,04-21-2026,04-21-2026 16:48:39,0,0,eGFP3,WHEEL,
281,4:48 PM,04-21-2026,04-21-2026 16:48:40,0,0,eGFP3,WHEEL,
282,4:48 PM,04-21-2026,04-21-2026 16:48:41,0,0,eGFP3,WHEEL,
283,4:48 PM,04-21-2026,04-21-2026 16:48:43,0,0,eGFP3,WHEEL,
284,4:48 PM,04-21-2026,04-21-2026 16:48:44,0,0,eGFP3,WHEEL,
285,4:48 PM,04-21-2026,04-21-2026 16:48:44,0,0,eGFP3,WHEEL,
286,4:48 PM,04-21-2026,04-21-2026 16:48:45,0,0,eGFP3,WHEEL,
287,4:48 PM,04-21-2026,04-21-2026 16:48:46,0,0,eGFP3,WHEEL,
288,4:48 PM,04-21-2026,04-21-2026 16:48:47,0,0,eGFP3,WHEEL,
289,4:48 PM,04-21-2026,04-21-2026 16:48:47,0,0,eGFP3,WHEEL,
290,4:48 PM,04-21-2026,04-21-2026 16:48:48,0,0,eGFP3,WHEEL,
291,4:48 PM,04-21-2026,04-21-2026 16:48:49,0,0,eGFP3,WHEEL,
292,4:48 PM,04-21-2026,04-21-2026 16:48:50,0,0,eGFP3,WHEEL,
293,4:48 PM,04-21-2026,04-21-2026 16:48:51,0,0,eGFP3,WHEEL,
294,4:48 PM,04-21-2026,04-21-2026 16:48:51,0,0,eGFP3,WHEEL,
295,4:48 PM,04-21-2026,04-21-2026 16:48:52,0,0,eGFP3,WHEEL,
296,4:48 PM,04-21-2026,04-21-2026 16:48:53,0,0,eGFP3,WHEEL,
297,4:48 PM,04-21-2026,04-21-2026 16:48:54,0,0,eGFP3,WHEEL,
298,4:48 PM,04-21-2026,04-21-2026 16:48:55,0,0,eGFP3,WHEEL,
299,4:48 PM,04-21-2026,04-21-2026 16:48:55,0,0,eGFP3,WHEEL,
300,4:48 PM,04-21-2026,04-21-2026 16:48:56,0,0,eGFP3,WHEEL,
301,4:48 PM,04-21-2026,04-21-2026 16:48:57,0,0,eGFP3,WHEEL,
